n_dso,profile,ts_load_factor,mean_dso_coverage_percent,mean_dso_undercoverage_percent,mean_dso_overcoverage_percent,base_feasible,pinn_feasible,true_feasible,base_optimal,pinn_optimal,true_optimal,all_optimal,base_termination,pinn_termination,true_termination,base_cost,pinn_cost,true_cost,cost_order_ok,pinn_true_cost_gap,pinn_true_relative_cost_gap_percent,true_flexibility_value,pinn_flexibility_value,value_retention_percent,pinn_true_pg_l1_mw,pinn_true_pg_linf_mw,pinn_true_interface_l1_pu,pinn_true_interface_linf_pu,base_build_time_s,pinn_build_time_s,true_build_time_s,base_solve_time_s,pinn_solve_time_s,true_solve_time_s,disaggregation_success_ratio_percent,disaggregation_mean_squared_error,disaggregation_p95_squared_error,disaggregation_max_squared_error,disaggregation_all_below_tolerance
27,target_P10,1.0,87.00726354631495,12.992736453685026,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92555.02497021013,90341.05250026948,90142.87029980824,True,198.18220046123315,0.2198534391040516,2412.154670401884,2213.9724699406506,91.78401771275246,37.77053850812857,7.828167707811495,0.41431782704155096,0.06433027971533417,1.2894189000071492,1.469801200000802,2.2501826000225265,1.008666900015669,1.2292061999905854,4.27163129998371,nan,nan,nan,nan,False
27,target_P30,1.0,87.88728729262881,12.112712707371145,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,95208.82112074136,90471.45853222796,90289.88421207867,True,181.57432014928781,0.20110150958084563,4918.936908662683,4737.362588513395,96.30866743117767,35.5224284336101,6.660562720067076,0.4065512777612421,0.057663416755617564,1.8539260999823455,2.121611100010341,2.6197869000025094,1.0229384000122081,1.223343300021952,4.414393699989887,nan,nan,nan,nan,False
27,target_P50,1.0,88.7594867533514,11.240513246648563,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92466.33396891506,90372.8019898348,90192.40797703141,True,180.39401280338643,0.20001019692181402,2273.925991883647,2093.5319790802605,92.066847670185,33.30507501944817,5.801917304890569,0.37077726374688647,0.05502187444624207,0.7456271999981254,4.051758099987637,2.6143585999961942,0.9601979000144638,1.228608899982646,6.250138899980811,nan,nan,nan,nan,False
27,target_P70,1.0,89.3611573127468,10.63884268725319,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92343.79740265096,90338.72185244419,90141.02610309437,True,197.69574934981938,0.21931828147120777,2202.771299556596,2005.0755502067768,91.02513504740078,36.56747175063817,7.3880667219841545,0.37951771070344176,0.043519820928406006,0.7710380000062287,4.023731699999189,2.6164203000080306,1.0154831999971066,1.3072764000098687,4.70240510001895,nan,nan,nan,nan,False
27,target_P90,1.0,89.9751447883122,10.0248552116878,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92515.23982433155,90386.6091941951,90192.16854361522,True,194.44065057988337,0.21558484923871807,2323.0712807163363,2128.630630136453,91.63001789080161,35.641562949540635,6.9135446355200525,0.37058190626841037,0.03191453482090051,0.7773165999969933,4.047414800006663,2.596934900007909,1.0194144000124652,1.23163399999612,4.3659479999914765,nan,nan,nan,nan,False
