dso_scenario_index,dso_active_load_factor,dso_reactive_load_factor,dtheta_mean,dtheta_std,dtheta_min,dtheta_max,n_directions,coverage_percent,undercoverage_percent,overcoverage_percent,undercovered_direction_percent,overcovered_direction_percent,coverage_median_percent,coverage_p05_percent,coverage_p95_percent,coverage_sample_count,selected_for_downstream,coverage_percentile,coverage_rank_zero_based
0,0.9660780043172,1.0053003748587293,-0.03455766801720966,0.29469035485446904,-0.47941550570419755,0.4699098521619943,100,90.09983214946317,9.900167850536826,0.0,100.0,0.0,90.06663182335437,87.7662246563396,94.09254295559981,100,False,nan,nan
1,0.9825144682365344,0.929623799495723,-0.012778644958356712,0.2982676920599802,-0.4944778828763976,0.4868869366005173,100,89.53523182563478,10.464768174365224,0.0,100.0,0.0,89.81312662674026,86.18924290438767,92.9628502116097,100,False,nan,nan
2,0.9989520578908397,0.975109016519526,-0.011235131218365677,0.28675559690396746,-0.48341217107214385,0.4856504541106007,100,91.38122155598005,8.618778444019961,0.0,100.0,0.0,91.19879782426881,85.00175068152743,97.469808790518,100,False,nan,nan
3,0.9885977931250474,0.995759837439527,0.0243379523797482,0.3012272519530539,-0.4949384161537813,0.4900538501042633,100,86.37595587925196,13.624044120748058,0.0,100.0,0.0,89.90880700758743,76.88158720889746,91.94188055870424,100,False,nan,nan
4,1.006362194953985,1.011859076658021,0.01432637341301191,0.2739172353277427,-0.4746492565845425,0.4758520794625346,100,90.79831158435285,9.201688415647157,0.0,100.0,0.0,90.62877010688597,86.54689371515994,94.90322026605787,100,False,nan,nan
5,0.9671240977521779,0.976328754256601,-0.02731328936463283,0.301819122848086,-0.48560651137024413,0.4905051420006733,100,86.79949288259266,13.200507117407334,0.0,100.0,0.0,88.05115641360577,78.08547757244301,92.5657342664614,100,False,nan,nan
6,1.0373191020129346,0.9479957818288521,-0.0031421069079784697,0.3117002165024574,-0.48916234851970164,0.48663957850117545,100,87.92401346901782,12.07598653098216,0.0,100.0,0.0,87.87416053251734,82.20380174425614,94.04030603334655,100,True,30,15
7,1.013872228610965,1.0595605210117676,0.07920824336818849,0.30492740429513826,-0.48784552531018366,0.49296479611930033,100,88.4796927552773,11.520307244722707,0.0,100.0,0.0,86.59432827450335,85.62178674266808,94.58973914208234,100,False,nan,nan
8,1.048103158163912,0.9477910568662313,0.007018593862722355,0.2906073030445213,-0.48545533433211807,0.4997176732861306,100,88.61064989660578,11.389350103394216,0.0,100.0,0.0,87.82474906192168,85.34113853618102,92.6160876490785,100,False,nan,nan
9,0.9697233398145373,0.9464490409444454,-0.07677871973660795,0.26036457279560976,-0.47992880222227363,0.4208724005318132,100,90.65476908361441,9.345230916385596,0.0,100.0,0.0,90.80996597198165,86.87255920525303,94.72310522411438,100,False,nan,nan
10,1.0038273515041873,0.977815853117601,-0.02486441356465843,0.2945886285754191,-0.4481764631775731,0.48996023238994524,100,89.09273553032169,10.907264469678312,0.0,100.0,0.0,88.70089581269849,86.66198589147452,91.89026035367324,100,False,nan,nan
11,1.003344837365068,0.9790396862898186,0.011855806672224462,0.2676773532133986,-0.4664675652642206,0.4472833396118153,100,89.06220945348245,10.937790546517533,0.0,100.0,0.0,88.75409506193375,85.8754654553192,92.50123611469829,100,False,nan,nan
12,1.0229811873963832,0.9557291663353049,0.0008928722249459415,0.29710749396586467,-0.49536797699539714,0.49687425184594736,100,87.82167400491404,12.17832599508596,0.0,100.0,0.0,88.95346371362696,79.40443595688097,92.22125633715505,100,False,nan,nan
13,0.9494293026936969,1.0360197807913243,-0.04809228481822049,0.28103809398179325,-0.48699807648926396,0.4484533069621567,100,88.76444107684841,11.235558923151592,0.0,100.0,0.0,88.32855295159982,84.57721357520785,92.58429014651668,100,False,nan,nan
14,1.0232652085826983,0.9996922045030998,-0.05043616117140894,0.27565468728129916,-0.4890041713415195,0.4844021807035521,100,89.19255620512861,10.807443794871407,0.0,100.0,0.0,90.1987984592333,82.39655786963456,93.88011270853941,100,False,nan,nan
15,1.0031005066996226,1.0384061286436477,0.05515053376150542,0.312522778039947,-0.47873058914961286,0.49793411053333747,100,89.13670616843916,10.86329383156084,0.0,100.0,0.0,88.76210340083324,84.88736662100146,93.32278334078921,100,False,nan,nan
16,1.0298313441499565,0.9781360306088694,0.017373758433940345,0.30618430274883635,-0.4821260652665862,0.4949078226464353,100,86.45254398174109,13.547456018258899,0.0,100.0,0.0,87.5570804769742,80.54290837143736,90.66498180556286,100,False,nan,nan
17,1.0466015230889356,0.972504551422013,0.058156137993834206,0.28061828533312366,-0.4936141282831664,0.4811861780274235,100,90.13210624061311,9.867893759386877,0.0,100.0,0.0,91.69079418712596,83.6908449472572,93.78907730317347,100,True,90,44
18,0.981743255151313,1.0488351108846459,0.014311200036378107,0.3050755958931987,-0.47787644847100275,0.49712450015771115,100,86.79891129115522,13.201088708844766,0.0,100.0,0.0,90.28310224789273,76.46398579378837,93.6189273598788,100,True,10,5
19,0.9766270367619186,0.995036654993892,-0.056086437166264325,0.28544183725216693,-0.49022915258081634,0.48666259326714645,100,88.96461180299484,11.035388197005172,0.0,100.0,0.0,89.18453388905773,83.84565964867859,93.90756682705351,100,False,nan,nan
20,1.0237343248651734,1.0649910051796747,0.03051350602078704,0.2836146153391911,-0.46934749779419394,0.49633391605674193,100,88.63897179939919,11.361028200600824,0.0,100.0,0.0,88.36747013354741,85.13801411918261,93.40669261341863,100,False,nan,nan
21,0.9848491715209641,1.0495162025839093,-0.005795760625130959,0.30669430826131355,-0.4950600190655904,0.4866301229588469,100,87.81248772614687,12.187512273853121,0.0,100.0,0.0,92.17848825426414,77.847084190403,93.96356574431147,100,False,nan,nan
22,1.0189116175731452,0.9633066284688921,0.021572922629654726,0.2738876927446476,-0.49424133950187843,0.49941372577066656,100,88.85079429437992,11.149205705620068,0.0,100.0,0.0,87.77301534299768,86.052503269167,93.85991231032148,100,True,50,25
23,0.9798860438077799,0.9603604099041095,-0.017903044391661734,0.26732164082164594,-0.4763614139536636,0.4629268752375798,100,88.01509468546917,11.984905314530828,0.0,100.0,0.0,88.63827374479094,82.30168358779389,91.96492120053216,100,False,nan,nan
24,0.9922824769911341,0.9961267389486665,0.011985710928828046,0.2896900335017247,-0.4398576573992148,0.49413936122116753,100,88.98736489356114,11.012635106438875,0.0,100.0,0.0,89.84109458030973,83.90797597807541,92.18014022707119,100,False,nan,nan
25,1.0378434074338159,1.0046105880938148,-0.00292611077528032,0.3005083935925167,-0.474188093050513,0.49486631716976714,100,88.39043688066047,11.609563119339546,0.0,100.0,0.0,88.9331368034908,81.62970158637624,92.56509292714888,100,False,nan,nan
