dso_scenario_index,dso_active_load_factor,dso_reactive_load_factor,dtheta_mean,dtheta_std,dtheta_min,dtheta_max,n_directions,coverage_percent,undercoverage_percent,overcoverage_percent,undercovered_direction_percent,overcovered_direction_percent,coverage_median_percent,coverage_p05_percent,coverage_p95_percent,coverage_sample_count,coverage_percentile,coverage_rank_zero_based
18,0.981743255151313,1.0488351108846459,0.014311200036378107,0.3050755958931987,-0.47787644847100275,0.49712450015771115,100,86.79891129115522,13.201088708844766,0.0,100.0,0.0,90.28310224789273,76.46398579378837,93.6189273598788,100,10,5
6,1.0373191020129346,0.9479957818288521,-0.0031421069079784697,0.3117002165024574,-0.48916234851970164,0.48663957850117545,100,87.92401346901782,12.07598653098216,0.0,100.0,0.0,87.87416053251734,82.20380174425614,94.04030603334655,100,30,15
22,1.0189116175731452,0.9633066284688921,0.021572922629654726,0.2738876927446476,-0.49424133950187843,0.49941372577066656,100,88.85079429437992,11.149205705620068,0.0,100.0,0.0,87.77301534299768,86.052503269167,93.85991231032148,100,50,25
30,0.9535509594647191,0.9906346896096416,-0.0330642731034145,0.29498337582417755,-0.4781766032245105,0.48129709049724667,100,89.28451439818815,10.715485601811848,0.0,100.0,0.0,89.43898929262943,85.0820649361276,93.14018309201052,100,70,34
17,1.0466015230889356,0.972504551422013,0.058156137993834206,0.28061828533312366,-0.4936141282831664,0.4811861780274235,100,90.13210624061311,9.867893759386877,0.0,100.0,0.0,91.69079418712596,83.6908449472572,93.78907730317347,100,90,44
