scenario_name,region,start_index,feasible_solution,optimization_success,termination,cost,candidate_cost,pcc_p_pu_dsbase,pcc_q_pu_dsbase,solve_time_s,coverage_percentile,dso_scenario_index,coverage_percent,ts_load_factor
P10_TSO_0.80,base,0,True,True,optimal,11528.904121559783,11528.904121559783,0.3852210766104065,0.254906089293911,0.06457699998281896,10,18,86.79891129115522,0.8
P10_TSO_0.80,base,1,True,True,optimal,11528.904121565169,11528.904121565169,0.3852210766104065,0.254906089293911,0.08853180008009076,10,18,86.79891129115522,0.8
P10_TSO_0.80,base,2,True,True,optimal,11528.904121570567,11528.904121570567,0.3852210766104065,0.254906089293911,0.06248700013384223,10,18,86.79891129115522,0.8
P10_TSO_0.80,base,3,True,True,optimal,11528.90412157596,11528.90412157596,0.3852210766104065,0.254906089293911,0.06953990017063916,10,18,86.79891129115522,0.8
P10_TSO_0.80,base,4,True,True,optimal,11528.904121581363,11528.904121581363,0.3852210766104065,0.254906089293911,0.0686653999146074,10,18,86.79891129115522,0.8
P10_TSO_0.80,pinn,0,True,True,optimal,11493.92362896751,11493.92362896751,0.2947169298502657,0.18760438913171504,0.06723230006173253,10,18,86.79891129115522,0.8
P10_TSO_0.80,pinn,1,True,True,optimal,11493.923628983695,11493.923628983695,0.2947169298713172,0.18760438942218274,0.06377519993111491,10,18,86.79891129115522,0.8
P10_TSO_0.80,pinn,2,True,True,optimal,11493.923628999886,11493.923628999886,0.2947169298923688,0.1876043897126519,0.08855110011063516,10,18,86.79891129115522,0.8
P10_TSO_0.80,pinn,3,True,True,optimal,11493.923629016084,11493.923629016084,0.29471692991342047,0.1876043900031222,0.09547950001433492,10,18,86.79891129115522,0.8
P10_TSO_0.80,pinn,4,True,True,optimal,11493.923629032271,11493.923629032271,0.2947169299344723,0.18760439029359427,0.07270310004241765,10,18,86.79891129115522,0.8
P10_TSO_0.80,true,0,True,True,optimal,11491.45224478632,11491.45224478632,0.28809308857164784,0.19163885033755312,0.21776319993659854,10,18,86.79891129115522,0.8
P10_TSO_0.80,true,1,True,True,optimal,11491.452244964434,11491.452244964434,0.2880930889146428,0.19163885474386633,0.21297969995066524,10,18,86.79891129115522,0.8
P10_TSO_0.80,true,2,True,True,optimal,11491.452245142573,11491.452245142573,0.2880930892576377,0.19163885915017717,0.33966300007887185,10,18,86.79891129115522,0.8
