scenario_name,region,feasible_count,optimization_success_count,total_start_count,cost_min,cost_max,cost_range,max_pcc_distance_pu
P10_TSO_0.80,base,5,5,5,11528.904121559783,11528.904121581363,2.158049028366804e-08,0.0
P10_TSO_0.80,pinn,5,5,5,11493.92362896751,11493.923629032271,6.476147973444313e-08,1.164926649296336e-09
P10_TSO_0.80,true,5,5,5,11491.45224478632,11491.452245498827,7.125072443159297e-07,1.7678563586069903e-08
P50_TSO_1.00,base,5,5,5,15481.267998344321,15481.267998344365,4.3655745685100555e-11,0.0
P50_TSO_1.00,pinn,5,5,5,15442.326526673662,15442.326526716843,4.318098945077509e-08,9.525805022327917e-10
P50_TSO_1.00,true,5,5,5,15439.691906745966,15439.691907436856,6.908903742441908e-07,1.493384922966361e-08
P90_TSO_1.20,base,5,5,5,19616.30376703191,19616.30376705296,2.104934537783265e-08,0.0
P90_TSO_1.20,pinn,5,5,5,19573.59347803191,19573.59347809668,6.477057468146086e-08,7.116688342542435e-10
P90_TSO_1.20,true,5,5,5,19570.68334737946,19570.68334809197,7.125090633053333e-07,1.3128251500112294e-08
