ts_load_factor,dso_dtheta_level,dso_scenario_index,dso_load_factor,dso_active_load_factor,dso_reactive_load_factor,dtheta_mean,dtheta_std,dtheta_min,dtheta_max,dso_current_limits_enabled,nominal_host_pcc_p_mw,nominal_host_pcc_q_mvar,current_multiplier,base_cost,pinn_cost,true_cost,base_solve_time_s,pinn_solve_time_s,true_solve_time_s,pinn_true_cost_gap,pinn_true_relative_cost_gap_percent,true_flexibility_value,pinn_flexibility_value,value_retention_percent,cost_order_ok,all_economic_optimization_success,base_feasible_solution,pinn_feasible_solution,true_feasible_solution,base_optimization_success,pinn_optimization_success,true_optimization_success,pinn_disaggregation_squared_error,pinn_disaggregation_solved,pinn_disaggregation_feasible,pinn_disaggregation_optimization_success,pinn_disaggregation_termination,pinn_disaggregation_solve_time_s,pinn_true_pcc_distance_pu,pinn_true_pg_l1_mw,pinn_true_pg_linf_mw,pinn_true_qg_l1_mvar,pinn_true_qg_linf_mvar,true_current_limit_active_rate,reference_max_current_pu,allowed_max_current_pu,true_pcc_p_pu_dsbase,true_pcc_q_pu_dsbase,base_max_tso_branch_utilization_percent,pinn_max_tso_branch_utilization_percent,true_max_tso_branch_utilization_percent,base_tso_branch_ge99_utilization_ratio_percent,pinn_tso_branch_ge99_utilization_ratio_percent,true_tso_branch_ge99_utilization_ratio_percent,n_directions,coverage_percent,undercoverage_percent,overcoverage_percent,undercovered_direction_percent,overcovered_direction_percent,coverage_median_percent,coverage_p05_percent,coverage_p95_percent,coverage_sample_count,coverage_percentile,coverage_rank_zero_based
0.8,nan,18,0.981743255151313,0.981743255151313,1.0488351108846459,0.014311200036378107,0.3050755958931987,-0.47787644847100275,0.49712450015771115,False,166.0823229306314,102.914859071622,2.0,11528.904121570567,11493.923628999897,11491.452245142573,0.053953800117596984,0.10892000002786517,0.3122733999043703,2.4713838573243265,0.021506279664251997,37.45187642799465,34.98049257067032,93.40117480608527,True,True,True,True,True,True,True,True,5.4198473351055886e-11,True,True,True,optimal,0.2990486000198871,0.0077557854790247065,0.06803767917716846,0.06803767908420966,0.035542258173550285,0.03331605910790181,nan,nan,nan,0.28809308925763766,0.19163885915017828,79.42902840416475,79.32248489105346,79.31507170030577,0.0,0.0,0.0,100,86.79891129115522,13.201088708844766,0.0,100.0,0.0,90.28310224789273,76.46398579378837,93.6189273598788,100,10,5
0.9,nan,18,0.981743255151313,0.981743255151313,1.0488351108846459,0.014311200036378107,0.3050755958931987,-0.47787644847100275,0.49712450015771115,False,166.0823229306314,102.914859071622,2.0,13470.209444505843,13433.212863228764,13430.609366674047,0.0596309001557529,0.06988340010866523,0.2615679001901299,2.603496554716912,0.019384798437940432,39.600077831795716,36.9965812770788,93.42552667250943,True,True,True,True,True,True,True,True,5.419848462898718e-11,True,True,True,optimal,0.2656435000244528,0.007731915819931153,0.06600275170455389,0.0434082023447982,0.054731742872309724,0.04774173003294635,nan,nan,nan,0.2880942889726415,0.19159477105004838,88.28738232774027,88.30597697157927,88.30691580235256,0.0,0.0,0.0,100,86.79891129115522,13.201088708844766,0.0,100.0,0.0,90.28310224789273,76.46398579378837,93.6189273598788,100,10,5
1.0,nan,18,0.981743255151313,0.981743255151313,1.0488351108846459,0.014311200036378107,0.3050755958931987,-0.47787644847100275,0.49712450015771115,False,166.0823229306314,102.914859071622,2.0,15476.323479255117,15438.564152414387,15435.914781258978,0.0673186001367867,0.0753071999642998,0.4570872001349926,2.6493711554085166,0.017163680889357887,40.40869799613938,37.759326840730864,93.44356218638464,True,True,True,True,True,True,True,True,5.419848991505495e-11,True,True,True,optimal,0.27111049997620285,0.007715978568669909,0.06604188690604862,0.0434131239101021,0.05395069737220426,0.047086093753545555,nan,nan,nan,0.2880951725166535,0.1915652791724115,91.9726639637801,91.99388553676775,91.99472479862895,0.0,0.0,0.0,100,86.79891129115522,13.201088708844766,0.0,100.0,0.0,90.28310224789273,76.46398579378837,93.6189273598788,100,10,5
1.1,nan,18,0.981743255151313,0.981743255151313,1.0488351108846459,0.014311200036378107,0.3050755958931987,-0.47787644847100275,0.49712450015771115,False,166.0823229306314,102.914859071622,2.0,17521.335226571442,17482.80772476156,17480.11225903758,0.07500159996561706,0.06808939995244145,0.27401369996368885,2.6954657239766675,0.015420185431492614,41.222967533860356,38.52750180988369,93.46125258507257,True,True,True,True,True,True,True,True,5.4198494648454865e-11,True,True,True,optimal,0.2905555998440832,0.00770028292509651,0.0660824008023142,0.043419765387808784,0.05316884255497645,0.04642732241117997,nan,nan,nan,0.2880961075130669,0.19153619036296415,95.70594616846009,95.72969468610758,95.73044098522857,0.0,0.0,0.0,100,86.79891129115522,13.201088708844766,0.0,100.0,0.0,90.28310224789273,76.46398579378837,93.6189273598788,100,10,5
1.2,nan,18,0.981743255151313,0.981743255151313,1.0488351108846459,0.014311200036378107,0.3050755958931987,-0.47787644847100275,0.49712450015771115,False,166.0823229306314,102.914859071622,2.0,19606.28952529304,19566.897839173766,19564.149310908022,0.07185579999350011,0.06440109992399812,0.2317254999652505,2.7485282657435164,0.014048800293151873,42.140214385017316,39.3916861192738,93.47765950920093,True,True,True,True,True,True,True,True,5.4198498820711275e-11,True,True,True,optimal,0.290165200131014,0.00768609192036513,0.06509845882878285,0.06509845680586768,0.06155770300488306,0.052925057422026356,nan,nan,nan,0.28809700852124986,0.19150985204742974,98.61301632940382,98.69329622430116,98.6980929682259,0.0,0.0,0.0,100,86.79891129115522,13.201088708844766,0.0,100.0,0.0,90.28310224789273,76.46398579378837,93.6189273598788,100,10,5
0.8,nan,6,1.0373191020129346,1.0373191020129346,0.9479957818288521,-0.0031421069079784697,0.3117002165024574,-0.48916234851970164,0.48663957850117545,False,166.0823229306314,102.914859071622,2.0,11536.335683815636,11499.070575165937,11496.881496332418,0.06281579984351993,0.09642120008356869,0.21882419986650348,2.189078833518579,0.019040631446161374,39.45418748321754,37.26510864969896,94.45159316878662,True,True,True,True,True,True,True,True,4.7368138085037965e-11,True,True,True,optimal,0.3286025000270456,0.006147483692363404,0.06025610757971023,0.06025610749613719,0.00956203446034233,0.00554939513528474,nan,nan,nan,0.3028370024271884,0.17522403553096733,79.45110934684925,79.33785099022866,79.33126631166655,0.0,0.0,0.0,100,87.92401346901782,12.07598653098216,0.0,100.0,0.0,87.87416053251734,82.20380174425614,94.04030603334655,100,30,15
0.9,nan,6,1.0373191020129346,1.0373191020129346,0.9479957818288521,-0.0031421069079784697,0.3117002165024574,-0.48916234851970164,0.48663957850117545,False,166.0823229306314,102.914859071622,2.0,13478.016020949337,13438.626624436236,13436.318685952234,0.06244800006970763,0.06466979999095201,0.3428946998901665,2.3079384840020793,0.017176866208264658,41.6973349971031,39.38939651310102,94.46502160350914,True,True,True,True,True,True,True,True,4.7368143133481956e-11,True,True,True,optimal,0.3200846000108868,0.006133495685434975,0.058489210233979294,0.038825582916089674,0.018353396402021743,0.018138098307618478,nan,nan,nan,0.3028381126939895,0.17518319026226942,88.28502951360747,88.30428840592998,88.30519025691372,0.0,0.0,0.0,100,87.92401346901782,12.07598653098216,0.0,100.0,0.0,87.87416053251734,82.20380174425614,94.04030603334655,100,30,15
1.0,nan,6,1.0373191020129346,1.0373191020129346,0.9479957818288521,-0.0031421069079784697,0.3117002165024574,-0.48916234851970164,0.48663957850117545,False,166.0823229306314,102.914859071622,2.0,15484.257158754062,15444.06785566124,15441.717806440956,0.08356690010987222,0.07332540000788867,0.33292379998601973,2.350049220283836,0.01521883283803825,42.539352313106065,40.18930309282223,94.47558767941138,True,True,True,True,True,True,True,True,4.7368145467486754e-11,True,True,True,optimal,0.319516200106591,0.0061241914931738466,0.05855962557889671,0.03886649539854292,0.01741482014670781,0.017337929168759203,nan,nan,nan,0.3028389313110881,0.17515583755557332,91.97099733533078,91.99260710453186,91.99347376105445,0.0,0.0,0.0,100,87.92401346901782,12.07598653098216,0.0,100.0,0.0,87.87416053251734,82.20380174425614,94.04030603334655,100,30,15
1.1,nan,6,1.0373191020129346,1.0373191020129346,0.9479957818288521,-0.0031421069079784697,0.3117002165024574,-0.48916234851970164,0.48663957850117545,False,166.0823229306314,102.914859071622,2.0,17529.39633793598,17488.40164104046,17486.00925009517,0.07405429985374212,0.06722530000843108,0.3765288998838514,2.3923909452896623,0.01368174356465379,43.387087840812455,40.99469689552279,94.48593794986341,True,True,True,True,True,True,True,True,4.7368147601542534e-11,True,True,True,optimal,0.3625473999418318,0.006115064336879215,0.058630962715044976,0.03890894470398587,0.016595995571910827,0.016535675188444898,nan,nan,nan,0.3028397976733652,0.17512885835609904,95.70493557667407,95.7288082021478,95.72964340626268,0.0,0.0,0.0,100,87.92401346901782,12.07598653098216,0.0,100.0,0.0,87.87416053251734,82.20380174425614,94.04030603334655,100,30,15
1.2,nan,6,1.0373191020129346,1.0373191020129346,0.9479957818288521,-0.0031421069079784697,0.3117002165024574,-0.48916234851970164,0.48663957850117545,False,166.0823229306314,102.914859071622,2.0,19614.50103973331,19572.59681200823,19570.155911339636,0.060120899928733706,0.06173519999720156,0.3058581999503076,2.4409006685928034,0.012472566287417566,44.345128393673804,41.904227725081,94.49567346626283,True,True,True,True,True,True,True,True,4.736814954036557e-11,True,True,True,optimal,0.34886559983715415,0.006106851566214906,0.05780855179298161,0.0578085500715142,0.023526630398079673,0.02197283606237832,nan,nan,nan,0.30284063171744247,0.17510445497966426,98.59977874143821,98.68394289014007,98.68835534327476,0.0,0.0,0.0,100,87.92401346901782,12.07598653098216,0.0,100.0,0.0,87.87416053251734,82.20380174425614,94.04030603334655,100,30,15
