scenario,current_margin,feas_mean,feas_median,feas_p95,opt_mean,opt_median,opt_p95,coverage_mean,coverage_median,coverage_p95,coverage_count,membership_failed_cases,true_support_success_rate,feasibility_success_rate,optimality_success_rate,nominal_true_region_area,max_utilization_mean,max_utilization_p95,any_ge99_direction_rate,ge99_line_ratio_mean,ge99_line_ratio_median,ge99_line_ratio_p95,fullnet_total_time
baseline,nan,1.873129572498536e-11,1.0986467569781714e-11,6.542890603018181e-11,0.00014036034902558048,0.00012893993204294066,0.00029477409416657984,0.863981691446422,0.8698783594372028,0.9463824890733522,1000,0,1.0,1.0,1.0,0.027020924015423553,nan,nan,nan,nan,nan,nan,8887.887220621109
thermal_120pct,1.2,1.4402718287292437e-11,1.1219595073941678e-11,3.647904641279049e-11,0.00015772391567679914,0.00013123732373051028,0.0003506287846736923,0.8529681532161333,0.8578395585483162,0.942718237015903,1000,0,1.0,1.0,1.0,0.025602722295018587,0.9294572109906559,1.0000296631475953,0.53,0.0946875,0.03125,0.3125,9370.469564437866
