profile,ts_load_factor,all_models_have_optimal_start,best_base_cost,best_pinn_cost,best_true_cost,best_cost_order_ok,best_pinn_true_cost_gap,best_pinn_true_relative_gap_percent
target_P10,0.9,True,77796.29562136481,77597.27881450889,77584.43938883481,True,12.839425674072118,0.01654897009659883
target_P50,1.0,True,86864.55785534973,86435.41114225997,86421.1900118744,True,14.221130385572906,0.016455605834192866
target_P90,1.05,True,93170.12944353983,92019.96294247672,91947.50031320521,True,72.4626292715111,0.07880869955646227
