n_dso,profile,ts_load_factor,mean_dso_coverage_percent,mean_dso_undercoverage_percent,mean_dso_overcoverage_percent,base_feasible,pinn_feasible,true_feasible,base_optimal,pinn_optimal,true_optimal,all_optimal,base_termination,pinn_termination,true_termination,base_cost,pinn_cost,true_cost,cost_order_ok,pinn_true_cost_gap,pinn_true_relative_cost_gap_percent,true_flexibility_value,pinn_flexibility_value,value_retention_percent,pinn_true_pg_l1_mw,pinn_true_pg_linf_mw,pinn_true_interface_l1_pu,pinn_true_interface_linf_pu,base_build_time_s,pinn_build_time_s,true_build_time_s,base_solve_time_s,pinn_solve_time_s,true_solve_time_s,disaggregation_success_ratio_percent,disaggregation_mean_squared_error,disaggregation_p95_squared_error,disaggregation_max_squared_error,disaggregation_all_below_tolerance
10,target_P10,0.9,87.02393172672775,12.976068273272244,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,77796.29562136493,77597.27881451102,77584.43938883481,True,12.839425676211249,0.016548970099355995,211.85623253011727,199.01680685390602,93.93955725405151,1.5101800772096563,0.43467245089567896,0.18859233562679786,0.037776442471402605,4.261988199999905,1.5209786999998869,1.4838097000001653,1.047126599999956,1.068185000000085,2.3027085000003353,100.0,4.86163335905089e-11,5.419882979062969e-11,5.419884807783879e-11,True
10,target_P10,1.0,87.02393172672775,12.976068273272244,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,86893.63420396711,86428.1404292029,86414.85438088336,True,13.286048319539987,0.015374727429360939,478.77982308375067,465.4937747642107,97.22501916769038,4.8121936893879615,1.7868823585488913,0.16965840636611396,0.03747524721188311,1.7895696999999018,1.945683800000097,2.3042559999998957,1.0596725999998853,1.1029317000002266,2.2529026000001977,100.0,4.672488073376167e-11,6.398345373549045e-11,7.198901206491845e-11,True
10,target_P10,1.05,87.02393172672775,12.976068273272244,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,93357.06692921591,92018.67421101443,91948.4758618978,True,70.19834911663202,0.07634531019531697,1408.5910673181206,1338.3927182014886,95.01641386592875,8.921861469436301,3.6248484853036,0.1545511942264492,0.0204953707631661,3.5778799999998228,2.037724799999978,0.8815276000000267,1.0420462000001862,1.1252378999997745,2.7097390999997515,100.0,3.640402654626831e-11,7.198901850821614e-11,7.198901911299825e-11,True
10,target_P30,0.9,87.88434919851773,12.115650801482262,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,77839.52301167688,77613.18126638791,77600.5317297901,True,12.6495365978044,0.01630083752757117,238.99128188677423,226.34174528896983,94.70711379179207,1.5654399030307586,0.4670591658812562,0.18278183627365988,0.040955920162010606,3.5916111999999885,2.040029400000094,2.4170068999997056,1.0326303000001644,1.0911667999998826,2.2606588999997257,100.0,4.0480785236248275e-11,5.419885896365302e-11,5.419886510256363e-11,True
10,target_P30,1.0,87.88434919851773,12.115650801482262,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,87013.74781543722,86444.83404917155,86431.50910510855,True,13.324944063002476,0.015416766640969021,582.2387103286746,568.9137662656722,97.71142937997364,11.797432469876288,3.9605299773225244,0.15527937950279982,0.05316572743341591,3.5920046999999613,2.019066600000315,0.8300690000000941,1.0387504000000263,1.0615152999998827,2.146815200000219,100.0,3.744573053492401e-11,6.39841737087819e-11,7.198901211663159e-11,True
10,target_P30,1.05,87.88434919851773,12.115650801482262,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,93430.8758081489,92084.17214002972,92024.41960682072,True,59.75253320900083,0.06493117094820781,1406.456201328183,1346.703668119182,95.7515539301847,6.697747935119428,2.58688724823668,0.20650017532407755,0.06151862655722659,3.632714300000316,2.0350784000002022,2.412818100000095,1.055604399999993,1.1283649000001787,2.7282799999998133,100.0,3.2193975808054666e-11,7.198901849784941e-11,7.198901909385996e-11,True
10,target_P50,0.9,88.75218215006915,11.247817849930843,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,77817.4013795816,77606.46862732778,77593.2119453461,True,13.256681981671136,0.017084847565027556,224.18943423549354,210.9327522538224,94.08683909352034,1.7109598380191822,0.4843975409728696,0.26919744917950017,0.06575097679994074,3.730690599999889,2.0707821999999396,0.8561043999998219,1.0337712000000465,1.1223580999999285,2.4532897000003686,100.0,3.129153821732609e-11,4.7368168893949174e-11,4.736817593797971e-11,True
10,target_P50,1.0,88.75218215006915,11.247817849930843,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,86864.55785534966,86435.41114227101,86421.1900118744,True,14.22113039661781,0.016455605846973184,443.36784347526554,429.14671307864774,96.79247590778171,6.124479139314697,2.0363111152110758,0.21649611171105723,0.06574288575612341,3.5496890000003987,2.038993599999685,2.3574510999997074,1.0676253000001452,1.100524100000257,2.1948247000000265,100.0,3.192478100050395e-11,5.213669400227062e-11,5.603818186832712e-11,True
10,target_P50,1.05,88.75218215006915,11.247817849930843,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,93176.60804379416,92017.87032901937,91958.01790018893,True,59.85242883043247,0.06508668868373847,1218.5901436052227,1158.7377147747902,95.0883872527183,5.731639023763215,2.161020200532188,0.24892949138499493,0.06573295394334133,3.6215892999998687,2.011349800000062,0.8237847999998849,1.026631699999598,1.0892812000001868,2.4477280000000974,100.0,2.7731996705823623e-11,5.6038189301190396e-11,5.6038189650070396e-11,True
10,target_P70,0.9,89.36728874591151,10.632711254088496,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,77780.05258536825,77594.64473539968,77579.77276395954,True,14.871971440137713,0.019169908482957864,200.2798214087088,185.4078499685711,92.57440348431875,1.3946336565004882,0.3261570422238069,0.17842699098800305,0.037750120697075645,3.5582902000001013,2.003356000000167,2.3361681999999746,1.038137900000038,1.0516773999997895,3.145797399999992,100.0,2.4951048025369105e-11,3.421452890595022e-11,3.42145773389752e-11,True
10,target_P70,1.0,89.36728874591151,10.632711254088496,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,86828.4457394824,86424.18220724683,86407.88734302274,True,16.294864224095363,0.0188580750266557,420.558396459659,404.2635322355636,96.12542173423033,7.872390606505071,3.027875707754424,0.16225051578278976,0.034710916524278435,3.701228800000081,2.023876900000232,0.8347885999996834,1.0377083999997012,1.0761163000001943,2.822866399999839,100.0,2.516698315380253e-11,3.421421139273903e-11,3.421455854543403e-11,True
10,target_P70,1.05,89.36728874591151,10.632711254088496,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,93114.09509763206,92013.34084628444,91938.14708580374,True,75.19376048070262,0.08178733514231697,1175.9480118283245,1100.754251347622,93.60569007095867,8.174162791545966,3.15028736653713,0.1673028621434568,0.030464210795921487,3.5207962999998017,1.9976921000002221,2.3247573999997257,1.0212013999998817,1.0805372999998326,2.7774908000001233,100.0,2.0178121955825915e-11,3.4214393274408005e-11,3.421457799495536e-11,True
10,target_P90,0.9,89.96258787212811,10.037412127871871,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,77846.97953530177,77615.69805105188,77601.07834830268,True,14.619702749201679,0.01883956133132968,245.90118699909362,231.28148424989195,94.05464327862087,1.4736687755094786,0.3719881158967375,0.18505300293126356,0.036950225261623504,3.6455958000001374,1.9938007999999172,2.383692500000052,0.9943441000000348,1.0947134000002734,2.1159067000003233,100.0,2.843818705110461e-11,3.421477945814888e-11,3.421479564227436e-11,True
10,target_P90,1.0,89.96258787212811,10.037412127871871,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,86841.64972726205,86444.5381973822,86428.4814130897,True,16.05678429249383,0.018578116877640768,413.1683141723479,397.11152987985406,96.1137425737357,9.032372936085967,3.7839125595195977,0.17509939992487727,0.028122175137005656,0.7805554000001393,3.787278199999946,2.3946203999998943,1.0204240999996728,1.1307777999995778,2.6328244999999697,100.0,2.7722990660366853e-11,3.421474427203298e-11,3.421479527150822e-11,True
10,target_P90,1.05,89.96258787212811,10.037412127871871,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,93170.12944354108,92019.96294247743,91947.50031320521,True,72.46262927222415,0.07880869955723777,1222.629130335874,1150.1665010636498,94.07321259781226,7.285844059907154,2.7198073505407816,0.18118532691820868,0.042141750153961544,0.7654744999999821,3.7010369999998147,2.3488589999997203,1.007376099999874,1.0821743999999853,2.1522186000001966,100.0,2.1499420113370568e-11,3.4214678104337774e-11,3.421468213849526e-11,True
