profile,ts_load_factor,region,n_starts,n_feasible,n_optimal,best_start_index,best_cost,worst_cost,mean_cost,std_cost,relative_cost_spread_percent,median_solve_time_s
target_P10,0.9,base,5,5,5,2,77796.29562136481,77796.29562136494,77796.29562136487,4.6475090268857636e-11,1.6834636663514192e-13,0.9933051000007254
target_P10,0.9,pinn,5,5,5,1,77597.27881450889,77597.27881451118,77597.27881451053,8.375635420169694e-10,2.9629938590733998e-12,1.0489641999993182
target_P10,0.9,true,5,5,5,0,77584.43938883481,77584.43938883662,77584.4393888357,6.2627358736107e-10,2.32577241329808e-12,3.3327018999989377
target_P50,1.0,base,5,5,5,4,86864.55785534973,86864.55785923864,86864.55785768278,1.9049050958702947e-06,4.4769836275062145e-09,1.019391199999518
target_P50,1.0,pinn,5,5,5,3,86435.41114225997,86435.41114227113,86435.41114226874,4.390614511844388e-09,1.2912900896355415e-11,1.0810735000013665
target_P50,1.0,true,5,5,5,0,86421.1900118744,86421.19001187616,86421.19001187528,6.217262142450646e-10,2.0374421393531555e-12,3.2258349000003363
target_P90,1.05,base,5,5,5,1,93170.12944353983,93170.12944354168,93170.12944354107,6.954232245437615e-10,1.983568387250676e-12,1.0256124999978056
target_P90,1.05,pinn,5,5,5,0,92019.96294247672,92019.96294247723,92019.962942477,1.785799273830192e-10,5.534853706811671e-13,1.1003712999990967
target_P90,1.05,true,5,5,5,0,91947.50031320521,91947.5003132065,91947.50031320601,4.4724359189831107e-10,1.4085434089159776e-12,2.8703715999981796
