topology,closed_tie,opened_line,pf_success,pf_vmin,pf_vmax,coverage_mean,coverage_median,coverage_p05,coverage_p95,undercoverage_mean,undercoverage_p95,overcoverage_mean,undercovered_direction_rate,overcovered_direction_rate,feas_mean,feas_median,feas_p95,opt_mean,opt_median,opt_p95,membership_failed_cases,reference_membership_success_rate,radial_success_rate,feas_success_rate,opt_success_rate,evaluation_time_s
Base,-,-,1,0.9130904816081967,1.0,0.8887011908697094,0.8913094313444467,0.8110743738057287,0.9443273997624507,0.11129880913029062,0.1889256261942713,0.0,1.0,0.0,2.0051713587559367e-11,1.2953009858466281e-11,5.027885155063487e-11,0.00010697928286697743,9.633189963597475e-05,0.00023478525122522692,0,1.0,1.0,1.0,1.0,181.94443583488464
T1,21-8,7-8,1,0.9298563211793733,1.0,0.8933298015873934,0.8920447136381768,0.8320140852977914,0.9678368028876639,0.10671246627834502,0.16798591470220856,4.226786573841691e-05,0.9930555555555556,0.006944444444444444,2.6988003414380896e-09,1.2256406291080279e-11,8.483863456187644e-11,0.00014997012328495131,0.00010747680213404092,0.00043494691371851303,0,1.0,1.0,1.0,1.0,188.1947021484375
T2,9-15,14-15,1,0.9167150315694423,1.0,0.8882015091526329,0.8909129422438964,0.8162611901736682,0.9434989099741249,0.11179849084736715,0.18373880982633187,0.0,1.0,0.0,1.6631941553225768e-11,1.1820771409625067e-11,4.356045337100052e-11,0.00011564120042334921,9.837371225567076e-05,0.0002815932832680975,0,1.0,1.0,1.0,1.0,197.79019808769226
T3,12-22,21-22,1,0.9083005511833435,1.0,0.8980083050005185,0.9031241115789201,0.8053965809589103,0.9618144761228085,0.10230601100969677,0.19460341904108958,0.000314316010215236,0.9861111111111112,0.013888888888888888,2.797544833391766e-07,2.3259226551923783e-11,3.3977355245790463e-09,8.84792707958759e-05,7.368843739526554e-05,0.00022458717664115328,0,1.0,1.0,1.0,1.0,183.22590732574463
T4,18-33,17-18,1,0.9121854504049716,1.0,0.8965768495309197,0.8972963321698191,0.8180910145706409,0.9594057063223659,0.10372239360758477,0.18190898542935913,0.00029924313850445203,0.9888888888888889,0.011111111111111112,4.5420937484979025e-07,2.2853446066414683e-11,3.8325091586919803e-07,9.060929282792277e-05,8.253587031122334e-05,0.00020169266555184444,0,1.0,1.0,1.0,1.0,183.06592750549316
T5,25-29,28-29,1,0.9284945881993728,1.0,0.8915081906100331,0.8937900758459063,0.8239805357811821,0.9547618815012622,0.10853473673842426,0.17601946421881773,4.292734845720878e-05,0.9944444444444445,0.005555555555555556,2.0085301468306595e-11,1.1880495301013642e-11,4.392331773573689e-11,0.00016977009165882923,0.0001047339968374845,0.0005795801416789563,0,1.0,1.0,1.0,1.0,182.20442509651184
