method,test_A_mse,test_b_mse,test_boundary_point_mse,convex_hull_vertex_count_mean,convex_hull_vertex_count_min,feasibility_mean,feasibility_p95,projection_optimality_mean,projection_optimality_p95,coverage_mean,coverage_median,undercoverage_mean,overcoverage_mean,reference_membership_rate,approx_direction_solve_success_rate,feasibility_success_count,optimality_success_count,coverage_success_count,online_inference_seconds,training_conditions,test_conditions,independent_polygons,theta_used_as_learning_input,initial_points_per_condition,initial_class_balance_forced,initial_feasible_points,initial_infeasible_points,update_rounds,update_points_per_route,point_labels_generated,point_labels_final_training,update_points_maximum_if_both_routes_active,update_points_actual,update_feasible_points,update_infeasible_points,over_duplicate_points,under_duplicate_points,over_candidate_attempts,under_candidate_attempts,over_label_mismatches,under_label_mismatches,over_prediction_mismatches,under_prediction_mismatches,over_label_solver_failures,under_label_solver_failures,over_converged_rounds,over_physical_boundary_stopped_rounds,under_converged_rounds,update_round_processing_seconds,learning_seconds,initial_label_generation_seconds,reference_generation_seconds,initial_context_seconds,initialization_seconds,update_offline_seconds,offline_total_seconds,offline_total_includes_learning,offline_timing_checkpoint_safe,symmetric_radial_error
lin_paper_initial,nan,nan,nan,nan,nan,1.5311872486046258e-06,6.2725346059675595e-06,2.441744412592544e-06,8.57668747924714e-06,0.9927278068151092,0.9913157055813926,0.00906461204247058,0.0017924188575798325,1.0,1.0,500,500,5000,0.1032254695892334,50,50,50,False,10000,True,250000,250000,50,10,500000,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.1746580999952,92132.72379770002,1.671638499983601,2.1137141000108386,3.4329935000023397,0.0,92595.11680190002,True,True,0.010857030900050413
lin_paper_updated,nan,nan,nan,nan,nan,4.649639202246739e-06,1.4421355499876039e-05,1.4437987583939048e-10,3.6662302126860315e-10,1.0072441540833594,1.0044415903140518,7.27162619251589e-06,0.007251425709551815,1.0,1.0,500,500,5000,0.12019467353820801,50,50,50,False,10000,True,250000,250000,50,10,539152,539152,50000,39152,18440,20712,3343,263,33972,19096,13235,0,0,0,0,0,428,1,656,121250.98247100021,23114.196973899758,92132.72379770002,1.671638499983601,2.1137141000108386,3.4329935000023397,122662.98091429997,215258.0977162,True,True,0.0072586973357443305
