method,full_region_training_labels,feasibility_mean,feasibility_p95,optimality_mean,optimality_p95,average_radial_coverage,radial_undercoverage,radial_overcoverage,reference_membership_rate,offline_total_seconds,physics_oracle_calls,online_inference_seconds
pinn,0,1.8936501547407202e-11,4.8291616683713087e-11,0.0001147921598621211,0.00023104076961012244,0.8795717079230393,0.12042829207696068,0.0,1.0,11330.7707936,68410,0.13524889945983887
supervised_n50,50,3.8533360506893155e-05,0.00017161274425514218,2.415403556173537e-05,0.00012324936644064259,0.9908205952357797,0.03857985642210863,0.029400451657888356,1.0,519.8367270000745,3600,0.15924596786499023
supervised_n100,100,1.5819234079010988e-05,8.155878172004103e-05,2.10116569888045e-05,0.00011251067560772691,0.9801886010281291,0.03750525887971402,0.01769385990784292,1.0,743.4804223000315,5400,0.13782620429992676
supervised_n200,200,4.633847573685153e-06,2.422302084464508e-05,4.034604256694967e-06,1.9426509964603454e-05,0.9874915008995316,0.020111903016602567,0.0076034039161341225,1.0,1187.8218322000725,9000,0.13952302932739258
supervised_n500,500,2.4654206672547336e-06,1.4132134022435642e-05,2.5224812003694736e-06,1.4068951186670525e-05,0.9836630640686326,0.020172811494962944,0.003835875563595495,1.0,2677.4285619001225,19800,0.13763093948364258
supervised_n1000,1000,5.30168341639323e-07,2.401211346702411e-06,9.795438549973323e-07,4.040288793709355e-06,0.98251452505149,0.018368671333606455,0.0008831963850964625,1.0,4909.208330200096,37800,0.13885164260864258
supervised_n2000,2000,5.673337370944221e-07,2.5145643060041224e-06,8.409134218195698e-07,3.6088924028766703e-06,0.9838539333319073,0.016992748175800165,0.0008466815077073855,1.0,9223.857910200095,73800,0.157517671585083
supervised_n5000,5000,3.7557460910060873e-07,1.8781670804528137e-06,6.88625480965195e-07,3.3694552223551906e-06,0.9822709725372523,0.018526370680447497,0.000797343217699933,1.0,21937.224737100096,181800,0.13489818572998047
