method,full_region_training_labels,full_region_validation_labels,total_offline_full_region_labels,unique_training_conditions,labelled_boundary_directions,online_physics_direction_probes,condition_exposures,physics_oracle_calls,optimizer_steps,min_optimizer_steps,max_optimizer_steps,best_validation_step,best_validation_loss,stopping_reason,converged_by_validation,label_generation_seconds,network_training_seconds,offline_total_seconds,online_inference_seconds,test_A_mse,test_b_mse,test_boundary_point_mse,convex_hull_vertex_count_mean,convex_hull_vertex_count_min,feasibility_mean,feasibility_p95,projection_optimality_mean,projection_optimality_p95,coverage_mean,coverage_median,undercoverage_mean,overcoverage_mean,reference_membership_rate,approx_direction_solve_success_rate,feasibility_success_count,optimality_success_count,coverage_success_count
pinn,0,0,0,12100,0,34205,12100,68410,4421,nan,nan,nan,nan,fixed_two_stage_schedule,False,0.0,11330.7707936,11330.7707936,0.13524889945983887,nan,nan,nan,nan,nan,1.8936501547407202e-11,4.8291616683713087e-11,0.0001147921598621211,0.00023104076961012244,0.8795717079230393,0.8812025600432778,0.12042829207696068,0.0,1.0,1.0,500,500,5000
supervised_n50,50,50,100,50,1800,0,6750,3600,1350,0,10000,350,0.00010254161461489275,validation_plateau,True,515.7078455000883,4.128881499986164,519.8367270000745,0.15924596786499023,nan,nan,0.00010097069753101096,34.46,32,3.8533360506893155e-05,0.00017161274425514218,2.415403556173537e-05,0.00012324936644064259,0.9908205952357797,0.9851907059966243,0.03857985642210863,0.029400451657888356,1.0,1.0,500,500,5000
supervised_n100,100,50,150,100,3600,0,11000,5400,2200,0,10000,1200,5.9514779422897846e-05,validation_plateau,True,737.868089900097,5.61233239993453,743.4804223000315,0.13782620429992676,nan,nan,6.526795186800882e-05,35.24,33,1.5819234079010988e-05,8.155878172004103e-05,2.10116569888045e-05,0.00011251067560772691,0.9801886010281291,0.9782458022893267,0.03750525887971402,0.01769385990784292,1.0,1.0,500,500,5000
supervised_n200,200,50,250,200,7200,0,34750,9000,6950,0,10000,5950,1.8136344260710756e-05,validation_plateau,True,1170.1945880000972,17.627244199975394,1187.8218322000725,0.13952302932739258,nan,nan,1.8921842638519593e-05,35.16,30,4.633847573685153e-06,2.422302084464508e-05,4.034604256694967e-06,1.9426509964603454e-05,0.9874915008995316,0.9870169598580126,0.020111903016602567,0.0076034039161341225,1.0,1.0,500,500,5000
supervised_n500,500,50,550,500,18000,0,23250,19800,4650,0,10000,3650,9.44051939768542e-06,validation_plateau,True,2665.638639900097,11.789922000025399,2677.4285619001225,0.13763093948364258,nan,nan,1.0629943972162437e-05,35.28,29,2.4654206672547336e-06,1.4132134022435642e-05,2.5224812003694736e-06,1.4068951186670525e-05,0.9836630640686326,0.9843012881514965,0.020172811494962944,0.003835875563595495,1.0,1.0,500,500,5000
supervised_n1000,1000,50,1050,1000,36000,0,36250,37800,7250,0,10000,6250,3.3664111697362387e-06,validation_plateau,True,4885.394966000096,23.81336419999934,4909.208330200096,0.13885164260864258,nan,nan,2.927700961663504e-06,35.06,33,5.30168341639323e-07,2.401211346702411e-06,9.795438549973323e-07,4.040288793709355e-06,0.98251452505149,0.9845753664378682,0.018368671333606455,0.0008831963850964625,1.0,1.0,500,500,5000
supervised_n2000,2000,50,2050,2000,72000,0,33500,73800,6700,0,10000,5700,1.9537178332029726e-06,validation_plateau,True,9201.682882700097,22.175027499997668,9223.857910200095,0.157517671585083,nan,nan,2.4755715912760934e-06,35.06,32,5.673337370944221e-07,2.5145643060041224e-06,8.409134218195698e-07,3.6088924028766703e-06,0.9838539333319073,0.9839718694336546,0.016992748175800165,0.0008466815077073855,1.0,1.0,500,500,5000
supervised_n5000,5000,50,5050,5000,180000,0,30250,181800,6050,0,10000,5050,1.9220707031308847e-06,validation_plateau,True,21916.671569800095,20.553167300000496,21937.224737100096,0.13489818572998047,nan,nan,1.9858287032548105e-06,35.42,32,3.7557460910060873e-07,1.8781670804528137e-06,6.88625480965195e-07,3.3694552223551906e-06,0.9822709725372523,0.9831274647266417,0.018526370680447497,0.000797343217699933,1.0,1.0,500,500,5000
