n_dso,profile,ts_load_factor,interface_divisor,interface_scale,mean_dso_coverage_percent,mean_dso_undercoverage_percent,mean_dso_overcoverage_percent,base_feasible,pinn_feasible,true_feasible,base_optimal,pinn_optimal,true_optimal,all_optimal,base_termination,pinn_termination,true_termination,base_cost,pinn_cost,true_cost,cost_order_ok,pinn_true_cost_gap,pinn_true_relative_cost_gap_percent,true_flexibility_value,pinn_flexibility_value,value_retention_percent,pinn_true_pg_l1_mw,pinn_true_pg_linf_mw,pinn_true_interface_l1_pu,pinn_true_interface_linf_pu,base_build_time_s,pinn_build_time_s,true_build_time_s,base_solve_time_s,pinn_solve_time_s,true_solve_time_s,disaggregation_success_ratio_percent,disaggregation_mean_squared_error,disaggregation_p95_squared_error,disaggregation_max_squared_error,disaggregation_all_below_tolerance
27,target_P10,1.0,4.0,0.25,91.62424183344116,8.375758166558839,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92303.62986890525,88324.8337064745,88063.38232657465,True,261.4513798998523,0.29689000466764365,4240.247542330602,3978.79616243075,93.83405385440896,28.829438960770975,6.687955375495669,23.903883508692854,0.7284496075013462,1.1597393000265583,1.479762100003427,3.229830199998105,0.978359000000637,1.128863599995384,27.390061399986735,nan,nan,nan,nan,False
27,target_P30,1.0,4.0,0.25,92.13508977012452,7.8649102298754725,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92540.63569534097,88427.39717994045,88182.98661268818,True,244.410567252271,0.27716295017967113,4357.649082652788,4113.238515400517,94.39122878835663,43.75676178815222,10.93951226820189,24.197681858224914,0.7512055730919459,1.8528553000069223,2.120978999999352,3.597230800020043,0.9805443000223022,1.1279563000134658,24.06135189998895,nan,nan,nan,nan,False
27,target_P50,1.0,4.0,0.25,92.58987888693954,7.410121113060457,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92486.0687239694,88314.33518503938,88089.75692177056,True,224.5782632688206,0.25494253942403394,4396.311802198834,4171.733538930013,94.891666620268,37.8365858319405,8.564795704453054,24.00705206306746,0.7475478780248781,4.008034400001634,0.7770957000029739,3.513126999983797,0.9710022000072058,1.1164419999986421,20.01896560000023,nan,nan,nan,nan,False
27,target_P70,1.0,4.0,0.25,93.02306289612382,6.976937103876177,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,98160.22856667048,88400.87182373146,88185.20187702694,True,215.6699467045255,0.24456478197472895,9975.02668964355,9759.356742939024,97.83790105616016,30.922583975169516,6.236431839601053,23.895650718543212,0.7423209659750362,3.9281831000116654,2.1420208000054117,3.608536699990509,1.0336627000069711,1.1385837999987416,16.447062100021867,nan,nan,nan,nan,False
27,target_P90,1.0,4.0,0.25,93.42138372505005,6.578616274949946,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92431.86682928889,88306.07492435038,88092.88598068903,True,213.18894366135646,0.24200472182065863,4338.980848599866,4125.791904938509,95.08665857029192,25.738975379832052,5.929294237739047,23.966065701078694,0.7513852240054026,0.7594160000153352,4.093950599984964,3.4996997000125702,0.9691562000080012,1.152127000008477,24.551707500009798,nan,nan,nan,nan,False
