n_dso,profile,ts_load_factor,mean_dso_coverage_percent,mean_dso_undercoverage_percent,mean_dso_overcoverage_percent,base_feasible,pinn_feasible,true_feasible,base_optimal,pinn_optimal,true_optimal,all_optimal,base_termination,pinn_termination,true_termination,base_cost,pinn_cost,true_cost,cost_order_ok,pinn_true_cost_gap,pinn_true_relative_cost_gap_percent,true_flexibility_value,pinn_flexibility_value,value_retention_percent,pinn_true_pg_l1_mw,pinn_true_pg_linf_mw,pinn_true_interface_l1_pu,pinn_true_interface_linf_pu,base_build_time_s,pinn_build_time_s,true_build_time_s,base_solve_time_s,pinn_solve_time_s,true_solve_time_s,disaggregation_success_ratio_percent,disaggregation_mean_squared_error,disaggregation_p95_squared_error,disaggregation_max_squared_error,disaggregation_all_below_tolerance
27,target_P10,1.0,77.50139023925624,22.498609760743754,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92539.8502921027,86172.93355275778,85210.31152752491,True,962.622025232864,1.1297013330621548,7329.538764577781,6366.916739344917,86.86654022644608,156.8628287177914,37.16550225126506,2.703990347925994,0.34703003503183205,4.42301260001841,1.528333099995507,18.666142100002617,1.0011664999765344,1.1421443999861367,315.8600164000236,nan,nan,nan,nan,False
27,target_P30,1.0,78.8208874203164,21.17911257968358,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92607.84593126782,86179.4230802331,85252.4420240052,True,926.9810562279017,1.087336660651767,7355.403907262618,6428.422851034717,87.3972786822405,134.1051584816594,36.79322461090882,2.658690387839071,0.3399297026607233,2.160268699983135,2.4499778999888804,18.541790799994487,0.989395600015996,1.1393923999858089,873.732725400012,nan,nan,nan,nan,False
27,target_P50,1.0,79.95411183956496,20.04588816043503,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92588.89289247038,86118.40795829803,85185.13650361623,True,933.2714546818024,1.095580159858268,7403.756388854148,6470.484934172346,87.39462232864958,144.9103982955859,36.07634516011227,2.531061541232416,0.34893264228115173,0.7543662000098266,5.005111299979035,18.332231899985345,1.016444099979708,1.1452508999791462,700.7876825999992,nan,nan,nan,nan,False
27,target_P70,1.0,80.8098560646398,19.1901439353602,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92407.06016568582,86064.32352359183,85211.0788568619,True,853.2446667299228,1.0013306698806248,7195.981308823917,6342.736642093994,88.14276149267299,128.38250525217236,30.651461062173112,2.5244400696848324,0.36963376314261354,4.806627699988894,2.462675399990985,18.078706500004046,0.9998771999962628,1.1230872000160161,786.4786176999914,nan,nan,nan,nan,False
27,target_P90,1.0,81.87804070231117,18.121959297688836,0.0,True,True,True,True,True,True,True,optimal,optimal,optimal,92488.90856705898,86075.05761646383,85242.49238096146,True,832.5652355023776,0.9767021261902092,7246.416186097529,6413.8509505951515,88.5106621794691,136.0888767402153,36.89074824917324,2.378867246648581,0.28003546726074413,4.8547089000057895,0.7568836999998894,20.062442700000247,0.985716199997114,1.1168335000111256,219.8527766999905,nan,nan,nan,nan,False
