config,hidden_sizes,activation,parameter_count,n_dtheta,n_directions,feas_mean,feas_median,feas_p95,opt_mean,opt_median,opt_p95,coverage_mean,coverage_median,coverage_p05,coverage_p95,undercoverage_mean,undercoverage_p95,overcoverage_mean,membership_failed_cases,true_support_success_rate,radial_success_rate,feas_success_rate,opt_success_rate,phase2_train_time_s
h128_act-relu,128,relu,31084,20,36,1.774026429509678e-11,1.2019274425719626e-11,5.3833447653031987e-11,0.00013587588962094522,0.00011451985169979632,0.0002832398961965723,0.8635819409442356,0.8715002130403041,0.7676442515537658,0.9385929331051637,0.13641805905576443,0.2323557484462342,0.0,0,1.0,1.0,1.0,1.0,3195.6722235679626
h128_act-tanh,128,tanh,31084,20,36,4.0872092877851076e-11,3.855279920686637e-11,7.71633720250449e-11,4.92644213596014e-05,4.5679019462024664e-05,8.516012491200513e-05,0.9132990477955504,0.91442530554969,0.8747481690576481,0.9475547677645006,0.08670095220444957,0.12525183094235195,0.0,0,1.0,1.0,1.0,1.0,2860.0992333889008
h128_act-silu,128,silu,31084,20,36,4.095756791670952e-11,3.9807555943923475e-11,8.039633589979451e-11,4.526497185884269e-05,4.168374634155682e-05,8.08813370325125e-05,0.923172357811776,0.9237069198850492,0.8890197654881095,0.9527515606636405,0.07682764218822419,0.11098023451189055,0.0,0,1.0,1.0,1.0,1.0,2939.1552538871765
h128-128_act-relu,"128,128",relu,64108,20,36,1.6201734101456593e-11,1.14764966164422e-11,4.8674476832120125e-11,0.00011468059708129283,0.0001054531626751873,0.00022824287520399662,0.8747137150237366,0.8821969803468409,0.7914763047555012,0.931309630338478,0.12528628497626343,0.20852369524449868,0.0,0,1.0,1.0,1.0,1.0,3200.0972974300385
h128-128_act-tanh,"128,128",tanh,64108,20,36,4.588472334676011e-11,4.5704418451212185e-11,7.984966599247873e-11,4.4768415737055054e-05,4.064848890881329e-05,7.896332722939432e-05,0.9191695169335493,0.9181240394193659,0.8875641847365782,0.9502804724902869,0.08083048306645066,0.11243581526342186,0.0,0,1.0,1.0,1.0,1.0,3221.0209381580353
h128-128_act-silu,"128,128",silu,64108,20,36,3.4145345253421845e-11,3.128508177914732e-11,6.472332087229285e-11,5.5882911478682384e-05,5.2092419693051344e-05,0.00010292477859503093,0.9158148949313857,0.9156083928546956,0.8827016980665644,0.9487515498207683,0.08418510506861422,0.11729830193343554,0.0,0,1.0,1.0,1.0,1.0,3200.332320213318
