config,hidden_sizes,activation,feas_mean,feas_median,opt_mean,opt_median,coverage_mean,coverage_median,coverage_count,coverage_failed,train_time
h128_act-relu,128,relu,1.7489551670021788e-11,1.457902320140547e-11,0.00012475918292256504,0.0001315267237986849,0.8718920719293471,0.8846145395738461,50,0,3195.6722235679626
h128_act-tanh,128,tanh,4.024622832068497e-11,4.230796683998433e-11,4.927976822482079e-05,4.770501116318259e-05,0.9151601831952964,0.91672770795437,50,0,2860.0992333889008
h128_act-silu,128,silu,4.5828640330538454e-11,4.106021828413519e-11,4.2652532238348694e-05,4.044676417068835e-05,0.9244356250133636,0.9240116251063502,50,0,2939.1552538871765
h128-128_act-relu,"128,128",relu,1.587788726207837e-11,1.3227759249853996e-11,0.00012122255494102817,0.00011582171410491726,0.8755815900888777,0.8857378776089848,50,0,3200.0972974300385
h128-128_act-tanh,"128,128",tanh,3.923325186042874e-11,4.274827639918788e-11,4.4267122513322995e-05,4.16457794312771e-05,0.9180606310641495,0.9168164308073202,50,0,3221.0209381580353
h128-128_act-silu,"128,128",silu,3.127139947129957e-11,3.1475326196752386e-11,5.8419734783257484e-05,5.159099379621745e-05,0.9148107177988658,0.9134913331523198,50,0,3200.332320213318
