noise_sd_pct,true_case_index,repeat_index,direction_index,feasibility_ratio_pct,optimality_ratio_pct,feasibility_success,optimality_success
0.0,0,0,0,0.00034859509802845346,1.9876183179296032,1,1
0.0,0,0,1,0.00033492508273555,1.9576618365236702,1,1
0.0,0,0,2,0.00034859509779125474,1.9788552062719602,1,1
0.0,0,0,3,0.0008984145184091796,2.0535205212993475,1,1
0.0,0,0,4,0.0003174431735842291,1.919304939590374,1,1
0.0,0,0,5,0.001281904709478412,1.8418633054105584,1,1
0.0,0,0,6,0.0009889481703391687,1.9270307812740874,1,1
0.0,0,0,7,0.0006027199323544605,1.4660492057296428,1,1
0.0,0,0,8,0.0007872501215345421,2.1795394461999518,1,1
0.0,0,0,9,0.0006027200368976121,1.9094037694310353,1,1
0.0,0,1,0,0.000348595097998172,2.189425234443191,1,1
0.0,0,1,1,0.00026504542383282956,1.8402036740503964,1,1
0.0,0,1,2,0.0004510298682306904,1.6849568564870063,1,1
0.0,0,1,3,0.0007682745118236727,1.9439727857378797,1,1
0.0,0,1,4,0.00045102985196257203,1.8814082068797724,1,1
0.0,0,1,5,0.0003485950976668783,2.2134901418067265,1,1
0.0,0,1,6,0.0009889481697658994,1.8270961376108792,1,1
0.0,0,1,7,0.0008984146868677765,2.1136287948516794,1,1
0.0,0,1,8,0.0009889481527260299,2.028432617915839,1,1
0.0,0,1,9,0.0012819046914455113,1.5521449059869183,1,1
0.0,0,2,0,0.0012819033381304508,1.6813216479826592,1,1
0.0,0,2,1,0.0007872500525689331,2.2144905488107463,1,1
0.0,0,2,2,0.000334925306221152,1.9497582842143208,1,1
0.0,0,2,3,0.0010902337721167196,2.002237378232418,1,1
0.0,0,2,4,0.0006027199255379081,1.461344872564682,1,1
0.0,0,2,5,0.0008984145682579033,2.0592552639248454,1,1
0.0,0,2,6,0.00034859509777383503,1.9796756304412795,1,1
0.0,0,2,7,0.0007872501179779843,2.14128301890449,1,1
0.0,0,2,8,0.0003485950978596265,2.2221503303271124,1,1
0.0,0,2,9,0.0003174431743451056,1.9511069631992461,1,1
0.0,1,0,0,0.0007655890236274101,2.2796174998071477,1,1
0.0,1,0,1,0.0003202246373531726,1.992195408103761,1,1
0.0,1,0,2,0.0008489377441054218,2.3832218763139275,1,1
0.0,1,0,3,0.0008567429161280249,2.425792009520854,1,1
0.0,1,0,4,0.0013452242665046687,2.356423259431729,1,1
0.0,1,0,5,0.0007334236272779829,2.430498407071888,1,1
0.0,1,0,6,0.0007473673029285619,2.789219208258361,1,1
0.0,1,0,7,0.0008489504648291633,2.2012584202596863,1,1
0.0,1,0,8,0.00032022463725364284,2.022632821223883,1,1
0.0,1,0,9,0.00036157959373781683,1.8974849858022769,1,1
0.0,1,1,0,0.0007656016835949576,2.290037177269216,1,1
0.0,1,1,1,0.00032022463970114387,1.9833103807824504,1,1
0.0,1,1,2,0.0010898274053596302,1.818156979939034,1,1
0.0,1,1,3,0.00032022463547898066,2.3691650139366804,1,1
0.0,1,1,4,0.0008489506292685089,2.496500388799171,1,1
0.0,1,1,5,0.0008489506162843814,2.2240501876490946,1,1
0.0,1,1,6,0.0007473566468239161,2.80832344604549,1,1
0.0,1,1,7,0.00036157973309642336,1.8896055486917078,1,1
0.0,1,1,8,0.0007655890062957355,2.2976756847440645,1,1
0.0,1,1,9,0.0008567429128177713,2.294546466417195,1,1
0.0,1,2,0,0.0008489505836494017,2.31229611618416,1,1
0.0,1,2,1,0.000733421525380762,2.3341781264830543,1,1
0.0,1,2,2,0.00026171550350995144,2.408881468744165,1,1
0.0,1,2,3,0.0007334224336709018,2.386968478309544,1,1
