metric,noise_sd_pct,n_success,n_failed,mean_pct,p05_pct,p25_pct,median_pct,p75_pct,p95_pct
feasibility,0.0,1500,0,0.0007825810357521361,0.0002748699650081328,0.0005514509170271822,0.0007545563345657726,0.0010024802106002536,0.0014511821970925863
feasibility,1.0,1500,0,0.0007843137000197563,0.00026440945060101934,0.000508631970453641,0.0007547560752332413,0.0010269388520830474,0.001457094527002494
feasibility,3.0,1500,0,0.0011799982031130956,0.00026370443023316867,0.0005234407317109707,0.0007702874562059285,0.0011055988466995514,0.0019927838697577005
feasibility,5.0,1500,0,0.01623694660209654,0.00022344358031452105,0.00048729975796156337,0.0007305307315758813,0.001178384178718718,0.005162969013730857
feasibility,10.0,1500,0,0.1342152510802397,0.00016837909504647662,0.00041218090294569207,0.0007187197994518251,0.001581960217034149,0.9743910558476552
optimality,0.0,1500,0,2.237973678534662,1.3950289272904193,1.807634667290636,2.1960209625232094,2.614166870462398,3.234384383386289
optimality,1.0,1500,0,2.2509362198980662,1.342178819426993,1.782366629196282,2.18595263879358,2.6469157695537078,3.3631464191105045
optimality,3.0,1500,0,2.3301070103286983,1.1231476091956485,1.7434988629907928,2.238065619622792,2.828018635709011,3.9827703252183166
optimality,5.0,1500,0,2.476853619772543,0.8175877132330962,1.702326744412258,2.366667342077339,3.1122077179197762,4.635347215172082
optimality,10.0,1500,0,3.0826671653377344,0.17078600697286195,1.6875591065667848,2.822277982685203,4.103133739428058,6.6867909669400465
