noise_level,mean_feasibility_error_pct,p95_feasibility_error_pct,paired_feasibility_increment_percentage_points,mean_projection_optimality_error_pct,p95_projection_optimality_error_pct,paired_projection_optimality_increment_percentage_points,out_of_range_measurement_pct
0.0,0.0007825810357521361,0.0014511821970925863,0.0,2.237973678534662,3.234384383386289,0.0,0.0
0.01,0.0007843137000197563,0.001457094527002494,1.7326642676199854e-06,2.2509362198980662,3.3631464191105045,0.012962541363404256,64.0
0.03,0.0011799982031130956,0.0019927838697577005,0.0003974171673609595,2.3301070103286983,3.9827703252183166,0.09213333179403642,95.33333333333334
0.05,0.01623694660209654,0.005162969013730857,0.015454365566344403,2.476853619772543,4.635347215172082,0.23887994123788084,100.0
0.1,0.1342152510802397,0.9743910558476552,0.13343267004448758,3.0826671653377344,6.6867909669400465,0.8446934868030718,100.0
